epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0995,0,9.50675,0,0,0,0,0,0,14.6855,0,0.000463798,0.000463798,0.000463798
2,36.3975,0,9.04031,0,0,0,0,0,0,14.7149,0,0.000847059,0.000847059,0.000847059
3,41.0356,0,8.69376,0,0,0,0,0,0,14.7068,0,0.001136,0.001136,0.001136
4,45.5449,0,8.43957,0,0,0,0,0,0,14.6726,0,0.00100459,0.00100459,0.00100459
5,50.526,0,8.22253,0,0,0,0,0,0,14.279,0,0.000863116,0.000863116,0.000863116
6,54.9109,0,8.0363,0,0,0,0,0,0,13.8937,0,0.000721645,0.000721645,0.000721645
7,59.4551,0,7.88242,0,0,0,0,0,0,13.4795,0,0.000580174,0.000580174,0.000580174
8,64.9183,0,7.75556,0,0,0,0,0,0,13.3147,0,0.000438703,0.000438703,0.000438703
9,69.9499,0,7.66532,0,0,0,0,0,0,13.172,0,0.000297232,0.000297232,0.000297232
10,74.7044,0,7.60392,0,0,0,0,0,0,13.176,0,0.000155761,0.000155761,0.000155761
