epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7388,0,9.50675,0,0,0,0,0,0,14.6855,0,0.000463798,0.000463798,0.000463798
2,45.1598,0,9.04031,0,0,0,0,0,0,14.7149,0,0.000847059,0.000847059,0.000847059
3,50.1462,0,8.69376,0,0,0,0,0,0,14.7068,0,0.001136,0.001136,0.001136
4,54.8536,0,8.43957,0,0,0,0,0,0,14.6726,0,0.00100459,0.00100459,0.00100459
5,60.4299,0,8.22253,0,0,0,0,0,0,14.279,0,0.000863116,0.000863116,0.000863116
6,65.3688,0,8.0363,0,0,0,0,0,0,13.8937,0,0.000721645,0.000721645,0.000721645
7,70.4253,0,7.88242,0,0,0,0,0,0,13.4795,0,0.000580174,0.000580174,0.000580174
8,75.3613,0,7.75556,0,0,0,0,0,0,13.3147,0,0.000438703,0.000438703,0.000438703
9,79.9237,0,7.66532,0,0,0,0,0,0,13.172,0,0.000297232,0.000297232,0.000297232
10,84.9571,0,7.60392,0,0,0,0,0,0,13.176,0,0.000155761,0.000155761,0.000155761
