Bone Name,Parent Name,Hierarchy Depth
spine,Root,0
spine.001,spine,1
spine.002,spine.001,2
spine.003,spine.002,3
spine.004,spine.003,4
spine.005,spine.004,5
spine.006,spine.005,6
shoulder.L,spine.003,4
upper_arm.L,shoulder.L,5
forearm.L,upper_arm.L,6
hand.L,forearm.L,7
shoulder.R,spine.003,4
upper_arm.R,shoulder.R,5
forearm.R,upper_arm.R,6
hand.R,forearm.R,7
breast.L,spine.003,4
breast.R,spine.003,4
pelvis.L,spine,1
pelvis.R,spine,1
thigh.L,spine,1
shin.L,thigh.L,2
foot.L,shin.L,3
toe.L,foot.L,4
heel.02.L,foot.L,4
thigh.R,spine,1
shin.R,thigh.R,2
foot.R,shin.R,3
toe.R,foot.R,4
heel.02.R,foot.R,4
