epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7752,1.89615,2.24088,1.61941,0.46922,0.33682,0.31411,0.11217,2.29631,2.54501,1.9621,0.000658915,0.000658915,0.000658915
2,54.7336,1.88099,1.84903,1.60663,0.46301,0.40838,0.36933,0.14585,2.14988,2.58858,2.1157,0.00132526,0.00132526,0.00132526
3,78.4461,1.86659,1.76348,1.5842,0.43108,0.38349,0.34224,0.13252,2.31522,3.02168,1.99142,0.0019903,0.0019903,0.0019903
4,101.622,1.89936,1.75747,1.62492,0.5186,0.35602,0.35918,0.13601,2.28149,3.07085,1.88509,0.00199561,0.00199561,0.00199561
5,125.572,1.85688,1.6867,1.58727,0.51849,0.42757,0.40222,0.16254,2.11431,2.14408,1.83593,0.00199219,0.00199219,0.00199219
6,151.728,1.84089,1.65168,1.57109,0.51344,0.47818,0.46127,0.17575,2.12345,2.4013,1.83748,0.00198781,0.00198781,0.00198781
7,176.605,1.81153,1.5841,1.54443,0.50954,0.41536,0.3881,0.15184,2.30838,2.58577,1.98165,0.00198246,0.00198246,0.00198246
8,199.342,1.78351,1.53135,1.52976,0.62452,0.50785,0.53503,0.20641,2.08753,2.06304,1.79137,0.00197616,0.00197616,0.00197616
9,223.606,1.78283,1.5006,1.51127,0.52772,0.45375,0.48672,0.19261,2.13271,2.07545,1.84764,0.0019689,0.0019689,0.0019689
10,247.623,1.75406,1.48042,1.49995,0.60893,0.49564,0.5394,0.21647,2.04616,2.0544,1.7625,0.00196069,0.00196069,0.00196069
11,271.361,1.72823,1.43167,1.49418,0.62909,0.46771,0.51272,0.21815,2.05065,2.717,1.68795,0.00195155,0.00195155,0.00195155
12,294.139,1.72763,1.4235,1.49118,0.71982,0.59337,0.66657,0.2967,1.91108,1.79891,1.69014,0.00194147,0.00194147,0.00194147
13,319.226,1.72233,1.40199,1.48133,0.64518,0.5445,0.5888,0.25742,1.95175,1.69872,1.70843,0.00193048,0.00193048,0.00193048
14,343.935,1.72075,1.38106,1.4772,0.65001,0.45724,0.51037,0.23133,2.06327,2.18659,1.75554,0.00191858,0.00191858,0.00191858
15,367.046,1.71516,1.37634,1.47628,0.69447,0.58813,0.62787,0.28101,1.8732,1.67632,1.58803,0.00190578,0.00190578,0.00190578
16,392.168,1.6905,1.35101,1.45308,0.70711,0.5688,0.65064,0.29325,1.92856,1.70005,1.65137,0.0018921,0.0018921,0.0018921
17,418.142,1.68653,1.32395,1.46002,0.63911,0.57417,0.59949,0.25817,1.96876,1.73819,1.683,0.00187754,0.00187754,0.00187754
18,442.522,1.66315,1.30686,1.44199,0.64673,0.55148,0.59014,0.25461,2.00641,1.82136,1.70501,0.00186213,0.00186213,0.00186213
19,467.837,1.66312,1.30151,1.44746,0.67432,0.60343,0.64698,0.26721,2.02755,1.709,1.78362,0.00184588,0.00184588,0.00184588
20,491.812,1.63843,1.26858,1.43166,0.72208,0.59162,0.67438,0.31673,1.82444,1.55805,1.59186,0.00182881,0.00182881,0.00182881
21,515.896,1.65285,1.27244,1.438,0.703,0.59162,0.65241,0.29458,1.94879,1.68345,1.69167,0.00181093,0.00181093,0.00181093
